date,customer_id,item
2025-12-10,1415,Dinner table
2026-02-02,5388,Dinner table
2025-12-16,835,Sofa
2025-12-12,5923,Bed
2026-02-05,222,Bed
2025-12-24,5899,Bed
2026-01-05,8370,Sofa
2026-02-03,3243,Sofa
2026-02-05,3748,Bed
2025-12-19,6187,Dinner table
2026-01-31,1405,Bed
2025-11-12,8513,Sofa
2026-01-02,6687,Dinner table
2026-01-23,3971,Dinner table
2026-01-18,2085,Bed
2025-12-10,8610,Bed
2025-12-05,1366,Dinner table
2025-12-04,1604,Bed
2026-01-29,3997,Sofa
2026-02-01,7363,Bed
2026-01-09,6824,Sofa
2025-11-25,8378,Sofa
2025-11-22,6174,Bed
2026-01-30,8201,Dinner table
2025-12-22,6419,Sofa
2025-11-28,6551,Dinner table
2026-01-01,1287,Dinner table
2026-01-21,5209,Sofa
2026-02-17,4462,Bed
2026-02-12,7368,Bed
2025-11-17,3713,Sofa
2026-02-06,3685,Dinner table
2025-11-16,1054,Bed
2025-12-25,2884,Sofa
2026-01-06,6867,Dinner table
2025-12-24,6379,Bed
2026-02-11,632,Bed
2025-12-30,8985,Dinner table
2026-02-07,5600,Sofa
2025-11-10,5933,Dinner table
2026-01-14,5964,Sofa
2026-01-09,7529,Bed
2026-01-07,9184,Sofa
2025-11-28,3908,Bed
2026-01-13,2974,Dinner table
2025-12-21,1232,Bed
2025-11-14,1816,Dinner table
2026-01-23,1093,Sofa
2025-12-27,1023,Bed
2025-11-22,9124,Sofa
2026-01-31,8449,Sofa
2025-12-27,5326,Bed
2025-12-25,8799,Dinner table
2026-01-16,1414,Dinner table
2025-12-20,7842,Bed
2025-11-21,3857,Bed
2026-01-23,145,Dinner table
2025-12-28,7463,Sofa
2026-01-06,5131,Sofa
2026-02-07,2829,Dinner table
2025-11-24,1808,Sofa
2025-12-12,8057,Sofa
2026-01-09,7459,Sofa
2026-01-24,8508,Sofa
2025-12-07,3056,Sofa
2025-12-18,1264,Sofa
2025-12-25,7483,Sofa
2026-02-07,5624,Dinner table
2025-12-16,6481,Bed
2025-12-19,7499,Dinner table
2025-12-25,9097,Bed
2025-12-27,5448,Sofa
